name,pos,age,team,games,3PM,3PA,3%,PPG
Earl Evans,PF,24,DET,36,0.2,0.5,.389,4.4
Mike Evans,SG,24,SAS,79,0.2,0.5,.286,6.2
Eric Fernsten,PF,26,BOS,56,0.0,0.0,,3.1
Chris Ford,SG,31,BOS,73,1.0,2.2,.427,11.2
Don Ford,SF,27,LAL,52,0.0,0.0,.000,3.0
Don Ford,SF,27,CLE,21,0.0,0.1,.500,7.3
Phil Ford,PG,23,KCK,82,0.0,0.3,.174,16.2
Walt Frazier,PG,34,CLE,3,0.0,0.3,.000,3.3
World B. Free,SG,26,SDC,68,0.1,0.4,.360,30.2
Terry Furlow,SG,25,ATL,21,0.0,0.4,.111,8.4
Terry Furlow,SG,25,UTA,55,0.4,1.3,.315,16.0
Mike Gale,PG,29,SAS,67,0.0,0.2,.154,6.6
Gary Garland,PG,22,DEN,78,0.1,0.2,.316,4.3
Gus Gerard,SF,26,KCK,73,0.0,0.0,.333,5.3
George Gervin,SG,27,SAS,78,0.4,1.3,.314,33.1
John Gianelli,C,29,UTA,17,0.0,0.0,,3.2
Artis Gilmore,C,30,CHI,48,0.0,0.0,,17.8
Jack Givens,SF,23,ATL,82,0.0,0.0,.000,5.7
Mike Glenn,SG,24,NYK,75,0.0,0.1,.200,5.9
Glen Gondrezick,SF,24,DEN,59,0.0,0.1,.333,6.6
Mike Green,C,28,KCK,21,0.0,0.1,.000,7.7
Dave Greenwood,PF,22,CHI,82,0.0,0.1,.143,16.3
Kevin Grevey,SF,26,WSB,65,0.5,1.4,.370,14.0
Paul Griffin,C,26,SAS,82,0.0,0.0,,6.3
Bob Gross,SF,26,POR,62,0.0,0.2,.100,8.7
Ernie Grunfeld,SF,24,KCK,80,0.0,0.0,.500,5.9
Roy Hamilton,PG,22,DET,72,0.0,0.0,.000,4.6
James Hardy,PF,23,UTA,76,0.0,0.0,.500,5.5
Joe Hassett,SG,24,IND,74,0.9,2.7,.348,7.1
Steve Hawes,PF,29,ATL,82,0.0,0.1,.375,9.3
Elvin Hayes,PF,34,WSB,81,0.0,0.2,.231,23.0
Spencer Haywood,PF,30,LAL,76,0.0,0.1,.250,9.7
Gar Heard,PF,31,PHO,82,0.0,0.0,.000,5.0
Gerald Henderson,PG,24,BOS,76,0.0,0.1,.333,6.2
Tom Henderson,PG,28,HOU,66,0.0,0.0,.000,5.5
Johnny High,PG,22,PHO,82,0.0,0.1,.143,5.0
Armond Hill,PG,26,ATL,79,0.0,0.1,.250,6.1
Darnell Hillman,PF,30,GSW,49,0.0,0.0,,4.0
Brad Holland,SG,23,LAL,38,0.1,0.4,.200,2.8
Lionel Hollins,PG,26,POR,20,0.1,0.5,.100,10.0
Lionel Hollins,SG,26,PHI,27,0.1,0.4,.200,12.2
Phil Hubbard,PF,23,DET,64,0.0,0.0,.000,9.1
Kim Hughes,C,27,DEN,70,0.0,0.0,,3.1
Geoff Huston,PG,22,NYK,71,0.0,0.2,.176,3.1
Dan Issel,C,31,DEN,82,0.0,0.1,.333,23.8
Phil Jackson,PF,34,NJN,16,0.0,0.1,.000,4.1
Abdul Jeelani,SF,25,POR,77,0.0,0.1,.000,9.6
Cheese Johnson,SF,22,GSW,9,0.0,0.0,,3.0
